"AOSNUMBER","NEWAOSNUMBER (ORI9)","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","TECH ABV","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS000131","CO0070100ALPR","Boulder","Boulder County","CO","Boulder Police Department","Police","The Boulder Police Department uses Flock Safety automated license plate readers.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/25997539-tc-packet-03-14-2023/?mode=document#document/p22","","Flock Safety","","3/14/2023","","","","","","","","","","",""
"AOS000132","CO0620700ALPR","Erie","Weld County","CO","Erie Police Department","Police","The Erie Police Department uses Flock Safety automated license plate readers.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/25997539-tc-packet-03-14-2023/?mode=document#document/p22","","Flock Safety","","3/14/2023","","","","","","","","","","",""
"AOS000134","CO0010300ALPR","Commerce City","Adams County","CO","Commerce City Police Department","Police","The Commerce City Police Department received funding from the Colorado Auto Theft Prevention Authority (CAPTA) to purchase automate license plate readers.","Municipal","Automated License Plate Readers","","Vigilant Solutions","https://aclu-co.org/scanners-allow-police-to-collect-location-info-on-millions-of-americans/","","ACLU","","07/17/2013","","","","","","","","","","",""
"AOS000135","CO0010400ALPR","Thornton","Adams County","CO","Thornton Police Department","Police","The Thornton Police Department received funding from the Colorado Auto Theft Prevention Authority (CAPTA) to purchase automate license plate readers.","Municipal","Automated License Plate Readers","","Vigilant Solutions","https://aclu-co.org/scanners-allow-police-to-collect-location-info-on-millions-of-americans/","","ACLU","","07/17/2013","","","","","","","","","","",""
"AOS000136","CO0010000ALPR","Brighton","Adams County","CO","Adams County Sheriff's Office","Sheriff","The Adams County Sheriff's Office operates Flock Safety automated license plate readers.","County","Automated License Plate Readers","","Flock Safety","https://denvergazette.com/news/crime/adams-county-shooting-flock-camera-arrest/article_f1ebc6ac-07ac-4b26-a3b0-4f69b67d8a70.html","","Denver Gazette","","9/2/2025","","","","","","","","","","",""
"AOS000139","CO0030700ALPR","Greenwood Village","Arapahoe County","CO","Greenwood Village Police Department","Police","The Greenwood Village Police Department received funding from the Colorado Auto Theft Prevention Authority (CAPTA) to purchase automate license plate readers.","Municipal","Automated License Plate Readers","","Vigilant Solutions","https://www.colorado.gov/pacific/sites/default/files/07212016%20DRAFT%20CATPA%20Board%20Minutes%20%281%29.pdf","","Colorado Auto Theft Prevention Authority","","07/21/2016","","","","","","","","","","",""
"AOS000167","OH0180000ALPR","Cleveland","Cuyahoga County","OH","Cuyahoga County Sheriff's Department","Sheriff","The Cuyahoga County Sheriff operates a network of 80 automated license plate readers throughout Northeastern Ohio in partnership with 20 local law enforcement agencies.","County","Automated License Plate Readers","","Selex","https://www.wkyc.com/article/news/are-license-plate-readers-being-used-in-your-city/95-24cb1a8a-1815-45b7-aa7b-d6dbc8050227","","WKYC","","1/9/2019","https://web.archive.org/web/20201022022338/https://noaca-its.aecomonline.net/html/inv/el254.html","","Northeast Ohio Areawide Coordinating Agency","","1/13/2020","","","","","",""
"AOS000168","OHCLP0000ALPR","Cleveland","Cuyahoga County","OH","Cleveland Division of Police","Police","The Cleveland Division of Police received a grant in 2022 to purchase automated license plate readers. The agency previously accessed the tool through a partnership with Cuyahoga County Sheriff's Office.","Municipal","Automated License Plate Readers","","Flock Safety, Selex","https://www.wkyc.com/article/news/are-license-plate-readers-being-used-in-your-city/95-24cb1a8a-1815-45b7-aa7b-d6dbc8050227","","WKYC","","1/9/2019","https://web.archive.org/web/20201022022338/https://noaca-its.aecomonline.net/html/inv/el254.html","","Northeast Ohio Areawide Coordinating Agency","","1/13/2020","https://www.newarkadvocate.com/story/news/local/2022/09/10/akron-flock-license-plate-traffic-cameras-installed/65937292007/","","Akron Advocate","","10/10/2022",""
"AOS000169","OH0181500ALPR","Cleveland Heights","Cuyahoga County","OH","Cleveland Heights Police Department","Police","The Cuyahoga County Sheriff operates a network of 80 automated license plate readers throughout Northeastern Ohio in partnership with 20 local law enforcement agencies, including the Cleveland Heights Police Department.","Municipal","Automated License Plate Readers","","Selex","https://www.wkyc.com/article/news/are-license-plate-readers-being-used-in-your-city/95-24cb1a8a-1815-45b7-aa7b-d6dbc8050227","","WKYC","","1/9/2019","https://web.archive.org/web/20201022022338/https://noaca-its.aecomonline.net/html/inv/el254.html","","Northeast Ohio Areawide Coordinating Agency","","1/13/2020","","","","","",""
"AOS000170","OH0181800ALPR","Euclid","Cuyahoga County","OH","Euclid Police Department","Police","As of April 2024, the Euclid Police Department operates 26 Flock Safety automated license plate readers. The agency stores ALPR data for 30 days.","Municipal","Automated License Plate Readers","","Flock Safety","https://transparency.flocksafety.com/euclid-oh-pd","","Flock Safety","","","https://github.com/mcclatchy-southeast/private_eyes","","The News & Observer","","5/1/2024","https://www.newsobserver.com/news/state/north-carolina/article286920890.html","","The News & Observer","","5/1/2024",""
