data_owner_slug,data_owner_agency,data_owner_city,data_owner_state,agency_with_access_slug,agency_with_access,agency_with_access_city,agency_with_access_state,relationship,owner_portal_url,source,source_generated_at
aviston-il-pd,Aviston IL PD,Aviston,IL,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/aviston-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
aviston-il-pd,Aviston IL PD,Aviston,IL,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/aviston-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
aviston-il-pd,Aviston IL PD,Aviston,IL,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/aviston-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
bartlett-il-pd,Bartlett IL PD,Bartlett,IL,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/bartlett-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
bartlett-il-pd,Bartlett IL PD,Bartlett,IL,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/bartlett-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
bartlett-il-pd,Bartlett IL PD,Bartlett,IL,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/bartlett-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
bartlett-il-pd,Bartlett IL PD,Bartlett,IL,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/bartlett-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
bartlett-il-pd,Bartlett IL PD,Bartlett,IL,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/bartlett-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
baytown-tx-pd,Baytown TX PD,Baytown,TX,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/baytown-tx-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
baytown-tx-pd,Baytown TX PD,Baytown,TX,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/baytown-tx-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
baytown-tx-pd,Baytown TX PD,Baytown,TX,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/baytown-tx-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
baytown-tx-pd,Baytown TX PD,Baytown,TX,south-chicago-heights-il-pd,South Chicago Heights IL PD,South Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/baytown-tx-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
baytown-tx-pd,Baytown TX PD,Baytown,TX,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/baytown-tx-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
beardstown-il-pd,Beardstown IL PD,Beardstown,IL,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/beardstown-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
beardstown-il-pd,Beardstown IL PD,Beardstown,IL,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/beardstown-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
beardstown-il-pd,Beardstown IL PD,Beardstown,IL,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/beardstown-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
beardstown-il-pd,Beardstown IL PD,Beardstown,IL,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/beardstown-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
beecher-il-pd,Beecher IL PD,Beecher,IL,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/beecher-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
beecher-il-pd,Beecher IL PD,Beecher,IL,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/beecher-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
